screen_name,id_str,created_at,coordinates,place,text,geo_location,text_count
NoScienceDenial,1153497178859380737,2019-07-23 02:48:53,,,@wolfgar77 @RlalbrechtTroy @JaTapps @Canna420Uk @PainesReason @citizenscienti3 @EBatterson @kyhilist_… https://t.co/Wsgix0ttOg,,9
wolfgar77,1153497112882974720,2019-07-23 02:48:37,,,@RlalbrechtTroy @JaTapps @Canna420Uk @PainesReason @citizenscienti3 @EBatterson @kyhilist_ @geraldpayne25… https://t.co/wcVP4sZIPX,,9
jacaristar,1153497099717304320,2019-07-23 02:48:34,,,Let me read about why it’s a bad idea to wade through flood water,,14
PHVFC31,1153497070331932673,2019-07-23 02:48:27,,,"[Mercer, NJ] Flood Statement Issued (7/22 @ 10:36 PM)  Alert info: https://t.co/AEsMivLayg  Be careful - be safe!… https://t.co/sFiX4vEmWd",,18
JohnFurrToronto,1153497012777771009,2019-07-23 02:48:13,,,@KJStack721 @lizstack117 @eco_andrew @historygirlMA @NYScanner @benFranklin2018 likely that the sewers were at capa… https://t.co/2iwGu871qv,,14
alexdecampi,1153496965906403328,2019-07-23 02:48:02,,,"@hansbekhart I was once in a flash flood! It was terrifying, I’ll tell you the story over alcohol

(a lot of very s… https://t.co/0s7aKEnV48",,24
JamesWi62221185,1153496949104029697,2019-07-23 02:47:58,,,"@NJAInteriors1 @MarenHofstad Wait what? Climate change again.
Flood water is dangerous",,11
andy_farquhar,1153496891444928512,2019-07-23 02:47:44,,,@SusieMadrak Excessive heat advisory morphing into a severe thunderstorm warning and flash flood watch - our new normal.,,18
mlnangalama,1153496867805622272,2019-07-23 02:47:38,,,via @PerilOfAfrica Leaders alarmed as sex workers flood Mbale: Somebody reported that sex workers are grabbing peop… https://t.co/ofrlL4WZJc,,18
neobulture,1153496830795272192,2019-07-23 02:47:30,,,my elementary school on this street... let that bih flood https://t.co/lgKZ610nqQ,,11
WayneTownshipNJ,1153496804308262912,2019-07-23 02:47:23,,,National Weather Service Post - Flash Flood Watch issued July 22 at 10:31PM EDT until July 23 at 8:00AM EDT by NWS https://t.co/UQMdwGzx9l,,23
CREATIVE_GOLD,1153496802605371393,2019-07-23 02:47:23,,,Canarsie tried to flex on twitter earlier and caught a flood tonight lmao.,,13
atltreepros,1153496791498801154,2019-07-23 02:47:20,,,Lehigh Valley under flash flood and severe thunderstorm warnings as cold front slices through the heat - Allentown… https://t.co/kjPsHmvzdB,,19
wolfgar77,1153496765569462272,2019-07-23 02:47:14,,,@RlalbrechtTroy @JaTapps @Canna420Uk @PainesReason @citizenscienti3 @EBatterson @kyhilist_ @geraldpayne25… https://t.co/XpiGA4RwHs,,9
kid_in_tub,1153496687484162051,2019-07-23 02:46:55,,,@DaWorstCritic @GeekyNexi @EdoTenseiSantos @SpeedDemon153 @guardianblit @weatherboy8 @tucakeane @the_Sonnyboi… https://t.co/04hIUMFPuA,,9
dgst101,1153496674234503168,2019-07-23 02:46:52,,,Roses sock beat flush spent bathe clean crimson flood hydrangeas,,10
ShayShay214,1153496579648737280,2019-07-23 02:46:30,,,"Watch: 400,000 Puerto Ricans Flood Streets to Demand Governor Resign Immediately https://t.co/SSxBArmAZD",,12
TReese82,1153496470156382210,2019-07-23 02:46:04,,,Good news: The Flash Flood Watch that was in effect for Mid-TN (Inc. Nashville area) has been cancelled! There's st… https://t.co/aKEPjTAiVX,,21
eniels13,1153496364690677765,2019-07-23 02:45:38,,,"Well this is a bit more accurate than I expected! In muti-threat scenarios, such as simultaneous tornado and flash… https://t.co/xW5p0UZy4Y",,20
hiwarehouse,1153496295354617856,2019-07-23 02:45:22,,,6inch 60W CREE LED Work Light Flood Beam 4WD Tractor Boat Super Bright Round https://t.co/vLQ9sRrZZJ https://t.co/NCbnRESKzl,,16
copuncle,1153496290187042816,2019-07-23 02:45:21,,,"New York last week: Waah we're having rolling blackouts
this week: waaah hottest summer on record ever 
today: waaa… https://t.co/pCvQPppZhP",,20
CrazyMSDian,1153496259950333952,2019-07-23 02:45:13,,,@ArunPandey99 From last few days I was tweeting you regarding @msdhoni to help for #flood victims of #Assam but you… https://t.co/oKgKVve2di,,21
WSMVLisaSpencer,1153496253482840064,2019-07-23 02:45:12,,,There is an Areal Flood Advisory for Davidson and Wilson Counties. A slow moving line of heavy rain could trigger s… https://t.co/32OPi8aU6t,,22
jenhaganjones,1153496247971569664,2019-07-23 02:45:11,,,I delivered him and he fell into my panties as I removed them to let the blood flood into the toilet,,21
WSMVweather,1153496221467729920,2019-07-23 02:45:04,,,There is an Areal Flood Advisory for Davidson and Wilson Counties. A slow moving line of heavy rain could trigger s… https://t.co/ePSnGvfLzK,,22
LadyJCMuses,1153496208876457984,2019-07-23 02:45:01,,,@ohbrotherohman @BayAreaJulie Not so. We live on an island. It can always flood here. 😫,,15
naysaahuja,1153496181386940418,2019-07-23 02:44:55,,,"Kaziranga needs to #Flood to survive, real problem is unplanned roads &amp; hotels infrastructure by @protectwildlife… https://t.co/oyr1Q1voig",,17
jessicawins,1153496171257556992,2019-07-23 02:44:52,,,Flash flooding today in NYC: https://t.co/5t3gDNQ9Go https://t.co/y43cKVMMQP,,7
AbolitionOf,1153496094355013632,2019-07-23 02:44:34,,,"@NYScanner This is bad. If it's flooded, forget it. You shouldn't be walking or driving through flood water. Even a… https://t.co/HnVTFrMoYL",,21
Bella5804,1153496053318127616,2019-07-23 02:44:24,,,#molasses  Boston Molasses Flood | 100 Wonders | Atlas Obscura https://t.co/Pl8u8eeYcX via @YouTube,,13
NSWN_SevereWx,1153495963484471296,2019-07-23 02:44:03,,,"NWS Charleston WV issued a Flash Flood Warning for Boone, WV; Raleigh, WV; Fayette, WV; Kanawha, WV; Logan, WV. Expiring at 10:50 PM (Local)",,24
IluminatiCnfrmd,1153495884681760769,2019-07-23 02:43:44,,,"@asstroboy14 My first apartment would flood in my bedroom like no tomorrow, I mean the carpet would be sopping. And… https://t.co/a9rFzNyHLq",,21
BRCR1690,1153495787457957888,2019-07-23 02:43:21,,,"Watches, Warnings, and Alerts from the National Weather Service: ...FLASH FLOODING POSSIBLE INTO TUESDAY MORNING...… https://t.co/89PfTc4ZRv",,16
SteveInRealife,1153495783972327424,2019-07-23 02:43:20,,,@DeannaRilling There Will Be Flood,,5
wolfgar77,1153495777529884673,2019-07-23 02:43:18,,,@RlalbrechtTroy @JaTapps @Canna420Uk @PainesReason @citizenscienti3 @EBatterson @kyhilist_ @geraldpayne25… https://t.co/Enylzbccjc,,9
NWSMBRFC,1153495770018004993,2019-07-23 02:43:17,,,River Info: BIG SIOUX R near HAWARDEN IA 4N is past crest and in MINOR flood cat #HWDI4 #IAflood #IAwx https://t.co/YsGY6x7AlP,,21
DynamicWx_OH,1153495662299926528,2019-07-23 02:42:51,,,"RLX expires Flash Flood Warning for Boone, Fayette, Kanawha, Logan, Raleigh [WV] https://t.co/NZTOVNBOfR",,13
westvirginia_wx,1153495662299889664,2019-07-23 02:42:51,,,"RLX expires Flash Flood Warning for Boone, Fayette, Kanawha, Logan, Raleigh [WV] https://t.co/x26uWwFGPK",,13
BlackfordAndrew,1153495662295769089,2019-07-23 02:42:51,,,"RLX expires Flash Flood Warning for Boone, Fayette, Kanawha, Logan, Raleigh [WV] https://t.co/jazOL5HsVM",,13
iembot_rlx,1153495662283108352,2019-07-23 02:42:51,,,"RLX expires Flash Flood Warning for Boone, Fayette, Kanawha, Logan, Raleigh [WV] https://t.co/1BRaRcLGFQ",,13
ncentralwvwx,1153495662278914048,2019-07-23 02:42:51,,,"RLX expires Flash Flood Warning for Boone, Fayette, Kanawha, Logan, Raleigh [WV] https://t.co/1LgkulRDwI",,13
terrikowalczyk,1153495654683070465,2019-07-23 02:42:49,,,"So why does the water seem to be up past her knees, but yet hitting well below the axle of the minivan tires?… https://t.co/9Fu7nNOVRE",,24
HanKSmithGA,1153495603495809024,2019-07-23 02:42:37,,,"This doesn't feel normal, right? Flooding in Brooklyn tonight. Does Brooklyn usually flood? https://t.co/IZyUe4Ww5n",,14
tyleroffbench,1153495542472859648,2019-07-23 02:42:22,,,@thegoodgodabove @dancingdog27 (I’ll play along even though you are a figment of other’s imaginations) you remind m… https://t.co/0EEJ5JvsBT,,18
NWSMBRFC,1153495508159205376,2019-07-23 02:42:14,,,River Info: BIG SIOUX R near DELL RAPIDS SD 2SW is past crest and in MINOR flood cat #DERS2 #SDflood #SDwx https://t.co/3q6aKzo386,,22
Zak_NYCMetroWx,1153495472209874945,2019-07-23 02:42:06,,,Flash Flood Watch issued July 22 at 10:31PM EDT until July 23 at 8:00AM EDT by NWS https://t.co/OzdhPc4OBT,,18
sondrablaylock1,1153495381570969601,2019-07-23 02:41:44,,,@YouTube TWEET NOW CHRISTIANS. FLOOD THIS PLACE WITH GOD.,,9
caleb_crain,1153495317389725696,2019-07-23 02:41:29,,,"If you have ever taken a look at the flood maps for the Gowanus area, this is not a surprise. It will be happening again.",,25
cookiesnkarimm,1153495310427131904,2019-07-23 02:41:27,,,so they were deadass when they said flash flood warning huh... https://t.co/oMUecjDZZJ,,12
iembot_phi,1153495286532251649,2019-07-23 02:41:21,,,"PHI continues Areal Flood Warning for Berks, Lehigh, Montgomery, Northampton [PA] till Jul 23, 1:00 AM EDT https://t.co/INByBnR7qE",,18
CWinderKOAA,1153495275266367488,2019-07-23 02:41:19,,,WETMORE FLOOD!: This is the start of when a huge body of water and debris started coming down the Junkins Burn Scar… https://t.co/tsiETEbGV2,,23
iembot_pub,1153495082076692482,2019-07-23 02:40:33,"{'type': 'Point', 'coordinates': [-105.1, 37.46]}","Place(_api=<tweepy.api.API object at 0x000002C01AF33C18>, id='e21c8e4914eef2b3', url='https://api.twitter.com/1.1/geo/id/e21c8e4914eef2b3.json', place_type='admin', name='Colorado', full_name='Colorado, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002C01AF33C18>, type='Polygon', coordinates=[[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]]), attributes={})","At 7:59 PM MDT, 6 N Cuchara [Huerfano Co, CO] EMERGENCY MNGR reports FLASH FLOOD. SIGNIFICANT AMOUNT OF WATER OVER… https://t.co/PnKJfQ18ud","{'type': 'Point', 'coordinates': [37.46, -105.1]}",21
NYCWeatherBot,1153495045170958336,2019-07-23 02:40:24,,,Flash Flood Watch issued July 22 at 10:31PM EDT until July 23 at 8:00AM EDT by NWS #nywx https://t.co/Tm10akLmrN,,19
DamnThatsRich,1153495035800969216,2019-07-23 02:40:22,,,@JulieDiCaro Just the midsummer cleansing flood did we not have that in Chicago?,,13
salsadigital,1153495010492338176,2019-07-23 02:40:16,,,"The award-winning Latrobe Valley Information Network is a world-first in weather monitoring, with 45 sensors in the… https://t.co/hTZ9fu5Pz9",,18
CamdenCountyOEM,1153495009808846849,2019-07-23 02:40:15,,,Areal Flood Advisory is in effect until 2 AM https://t.co/fmcAIVp77G,,10
FSUAndrew,1153494992456998912,2019-07-23 02:40:11,,,@jcarroll100 We had some serious rain and flash flood warnings but that is insane,,14
Leek17_,1153494948462977027,2019-07-23 02:40:01,,,Gotta watch 76. They be having these little flood spots on the road,,13
caitlinacarroll,1153494941877886977,2019-07-23 02:39:59,,,Just making sure your street didn’t flood/your power didn’t go out/you weren’t dragged into the bonkers drama at Grace Church pre-k...,,21
bblulz127,1153494910101860352,2019-07-23 02:39:52,,,"my university is under the flash flood watch and may or may not be flooded. luckily i had my orientation last week,… https://t.co/msi4KZk3qR",,23
egimeggo,1153494879630053376,2019-07-23 02:39:44,,,okay I'm home I'll do the tbhs now so if you don't want me to flood your tl now's your chance to mute or unfollow,,25
pinkcleats,1153494862077091840,2019-07-23 02:39:40,,,At the JLo. concert at club level and the concert is NOT on tv in the bar. Don’t see why Champions club (and Varsit… https://t.co/yOOYlCHJeR,,25
JohnFurrToronto,1153494845010448385,2019-07-23 02:39:36,,,"@lizstack117 @eco_andrew @historygirlMA @NYScanner @benFranklin2018 you will now. 

I started tracking flooding in… https://t.co/uXY4Iw13Uj",,14
emopigeonlover,1153494809744572416,2019-07-23 02:39:28,,,I wonder how many people outside our little bubble were caught in the flood...? Your 'God' is pretty merciless.,,19
CALBOYDON,1153494746645585921,2019-07-23 02:39:13,,,@CarverHighCBS @seanyhockey @Steven_Hyden Hey Carver High tell your producer if it's ok by F.O.B. To play some POIS… https://t.co/INAIhF58zd,,19
HobokenWX,1153494735518126085,2019-07-23 02:39:10,,,"Flash Flood Watch issued July 22 at 10:31PM EDT until July 23 at 8:00AM EDT by NWS for #Hoboken, NJ. Click the foll… https://t.co/UnUa12RAIC",,24
Conway31397916,1153494710687883264,2019-07-23 02:39:04,,,@ATT @CosmosNCreature @TheVixensworld @itsSHANGELA @JasminesMaster God destroyed the world with a flood because of… https://t.co/yUWPlOJnsq,,15
RealKevin63,1153494578646933505,2019-07-23 02:38:33,,,"A rain storm that caused street drains to flood, nope never happened before in the history of street drains. But ok… https://t.co/gs2WLB98br",,22
SimpleWeatherNJ,1153494531712724992,2019-07-23 02:38:21,,,"NWS Alert&gt; Flood Advisory: Affected Locations Include Philadelphia, Trenton, Camden, W Chester, Gloucester City, Ch… https://t.co/fkS0AEE8vn",,16
SouthamptonNJ,1153494510657298434,2019-07-23 02:38:16,,,Flood Advisory until 02:30AM Tuesday https://t.co/F8Lo22Ivh3,,6
SuperKenKaio,1153494497013030912,2019-07-23 02:38:13,,,FaceApp has opened the flood gates with possibilities,,8
J_Adkins20,1153494401559273472,2019-07-23 02:37:50,,,"@BayAreaJulie Flood those tunnels! All of their ""personholes"" will be overflowing.",,11
_SkyeIris,1153494393166450688,2019-07-23 02:37:48,,"Place(_api=<tweepy.api.API object at 0x000002C01AF33C18>, id='011add077f4d2da3', url='https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json', place_type='city', name='Brooklyn', full_name='Brooklyn, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002C01AF33C18>, type='Polygon', coordinates=[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]), attributes={})",I promise next time I’ll listen when I get a flash flood warning notification https://t.co/GfTi5N2GzK,,15
randonwhite,1153494376137613313,2019-07-23 02:37:44,,,Seeing all the floating trash in these NYC flood videos makes me very glad I live in DC. (And for dumpsters),,21
hiwarehouse,1153494373641986048,2019-07-23 02:37:44,,,2X 7inch 5D Square LED Driving Light Bar Spot Flood Combo Offroad Boat Truck SUV https://t.co/7Klb8FI0zw https://t.co/0h1wFMBBLT,,17
annie_caps,1153494361839165441,2019-07-23 02:37:41,,,Is there a way to watch the five minutes of Hannah yelling at Luke without a stupid flood advisory because I need t… https://t.co/C2iNsUUY0n,,24
fabucat,1153494343879200769,2019-07-23 02:37:37,,"Place(_api=<tweepy.api.API object at 0x000002C01AF33C18>, id='50e8c9b0f7938e83', url='https://api.twitter.com/1.1/geo/id/50e8c9b0f7938e83.json', place_type='city', name='Chevy Chase', full_name='Chevy Chase, MD', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002C01AF33C18>, type='Polygon', coordinates=[[[-77.096707, 38.9735754], [-77.052336, 38.9735754], [-77.052336, 39.011638], [-77.096707, 39.011638]]]), attributes={})","@MARCANDERSONNWO @majorityfm @tmbs @Cognitarians I’m sounding like my aunt in CA, who thought we’d drowned in the DC flood 2 weeks ago.😁",,22
CleanLewdWriter,1153494237889138688,2019-07-23 02:37:11,,,"@zp925 Holy crap, that’s a huge flood! I’m praying that your father is ok there, man.",,16
RefleksinSilver,1153494204548599816,2019-07-23 02:37:03,,,@GolfDigest Of even higher concern is the resultant rising lake level that may flood the coastline! #savetheEarth,,17
wildwillow65,1153494177318985728,2019-07-23 02:36:57,,,Bannon and Trump strategized to flood the zone to confuse and beat people down. Probably a lot of evil is being sne… https://t.co/2JE2UNrN82,,23
dgst101,1153494169555472384,2019-07-23 02:36:55,,,Noses dead beat nostril pink carnations daisies crimson flood fatigue,,10
iembot_phi,1153494160973934592,2019-07-23 02:36:53,,,"PHI issues Areal Flood Advisory for Burlington, Camden, Gloucester, Mercer [NJ] and Bucks, Chester, Delaware, Montg… https://t.co/cBRLmkpk7M",,17
ishimaru_en,1153494160193622019,2019-07-23 02:36:53,,,"I wear this uniform 365 days a year, rain or shine, flood or drought, wind and hail and hurricane!",,19
creatureonarock,1153494112026451968,2019-07-23 02:36:41,,,"'The People Have Spoken': Estimated 400,000 Puerto Ricans Flood Streets to Demand Rosselló Resign Immediately https://t.co/YowvNheBzd",,16
DCT_Sports,1153494033576210432,2019-07-23 02:36:23,,,Flash Flood Watch issued July 22 at 10:31PM EDT until July 23 at 8:00AM EDT by NWS for New Haven County… https://t.co/1oKiPhfN0k,,22
meh_just_a_guy,1153493983877894145,2019-07-23 02:36:11,,,"@WeAreCanProud trump mpdel:

step 1: appear grassroots/anti-""elitist"" w shadowy Corporate $
step 2: flood twitter w… https://t.co/UTd1S3gB33",,17
NHSewerAlerts,1153493954823954432,2019-07-23 02:36:04,,,"Flash Flood Watch issued July 22 at 10:31PM EDT until July 23 at 8:00AM EDT by NWS.

...FLASH FLOODING POSSIBLE INT… https://t.co/rq5gNOPNtr",,22
TheNinjaKevin,1153493864394702848,2019-07-23 02:35:42,,,"Gotta tell ya, hearing flash flood warning alerts while on the subway is not settling.",,15
AnantAnantbe,1153493853040566273,2019-07-23 02:35:40,,,@imVkohli Have you heard about Bihar flood???,,7
jaspscherer,1153493838197137408,2019-07-23 02:35:36,,,"Houston's resilience must improve with stronger storms coming, flood experts say https://t.co/BHmwkpRmzZ via @houstonchron",,14
thorn_twit,1153493829812654080,2019-07-23 02:35:34,,,@CuriousReeva @cov_Gretchen SUV is no exception of getting swept off by flash flood.,,13
iembot_pub,1153493794542817280,2019-07-23 02:35:26,"{'type': 'Point', 'coordinates': [-105.5, 38.18]}","Place(_api=<tweepy.api.API object at 0x000002C01AF33C18>, id='e21c8e4914eef2b3', url='https://api.twitter.com/1.1/geo/id/e21c8e4914eef2b3.json', place_type='admin', name='Colorado', full_name='Colorado, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002C01AF33C18>, type='Polygon', coordinates=[[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]]), attributes={})","At 5:07 PM MDT, 4 NNW Westcliffe [Custer Co, CO] EMERGENCY MNGR reports FLASH FLOOD. ROAD WAS CLOSED DUE TO FLOODIN… https://t.co/K8EyLamaW4","{'type': 'Point', 'coordinates': [38.18, -105.5]}",22
wendychnn,1153493760610897921,2019-07-23 02:35:18,,,the noise of the flash flood notification gave me a heart attack 😭,,13
Anil37489922,1153493712653045761,2019-07-23 02:35:06,,,"@News18India @jaspreet_k5 U r more concern about USA?? 
focus on the medical and other aspect which is of utmost ne… https://t.co/1ug2QbOmP2",,21
MrFagigly,1153493656956997632,2019-07-23 02:34:53,,,"@Queereon @CIaireAgain Theres 6 white men if you count roadhog and hes Hawaiian
What a flood",,16
CrystalRyuu,1153493653286981633,2019-07-23 02:34:52,,,"Yeah, it's that kind of lazy hot night. Oh well time to kill some flood!
#halo2 #halo https://t.co/2c3dBA1mPY",,18
CTPSscann,1153493608886079490,2019-07-23 02:34:41,,,Flash Flood Watch issued July 22 at 10:31PM EDT until July 23 at 8:00AM EDT by NWS ...FLASH FLOODING POSSIBLE INTO… https://t.co/lWjis6jvGk,,22
iembot_pub,1153493605237055488,2019-07-23 02:34:41,"{'type': 'Point', 'coordinates': [-105.5, 38.18]}","Place(_api=<tweepy.api.API object at 0x000002C01AF33C18>, id='e21c8e4914eef2b3', url='https://api.twitter.com/1.1/geo/id/e21c8e4914eef2b3.json', place_type='admin', name='Colorado', full_name='Colorado, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002C01AF33C18>, type='Polygon', coordinates=[[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]]), attributes={})","At 4:07 PM MDT, 4 NNW Westcliffe [Custer Co, CO] EMERGENCY MNGR reports FLASH FLOOD. ROAD WAS CLOSED DUE TO FLOODIN… https://t.co/vZu2nllOsk","{'type': 'Point', 'coordinates': [38.18, -105.5]}",22
lebondardo,1153493601797791754,2019-07-23 02:34:40,,,Honestly?? Stay out of service workers business. Some dude made a Facebook post bc there was a flash flood and it s… https://t.co/FBMc7CcyYJ,,23
roger_poo,1153493583686754304,2019-07-23 02:34:35,,,@NYCTSubway why is there no announcement? Why is there no communication? Why is it that all the riders are left jus… https://t.co/zYR7r5zSgc,,22
MetMattRitter,1153493581652533248,2019-07-23 02:34:35,,,That's it for me. Stay with WTOP and NBC4 for the flash flood threat overnight and into the morning rush on Tuesday.,,22
richlynnwatson,1153493577269501958,2019-07-23 02:34:34,,,@FolkAlley @nodepression The flood in color,,6
iembot_box,1153493521279672320,2019-07-23 02:34:21,,,"BOX cancels Areal Flood Warning for Bristol, Plymouth [MA] https://t.co/NSUfTLuN30",,10
AntarikshaGosw1,1153493511523586048,2019-07-23 02:34:18,,,Every year flood comes and thousands of poor people they lost their everything and lots of people also die but nobo… https://t.co/Xog1269CHU,,22
NWSAlbuquerque,1153493496638136322,2019-07-23 02:34:15,"{'type': 'Point', 'coordinates': [-107.14577926, 35.53027972]}","Place(_api=<tweepy.api.API object at 0x000002C01AF33C18>, id='71d65c0e6d94efab', url='https://api.twitter.com/1.1/geo/id/71d65c0e6d94efab.json', place_type='admin', name='New Mexico', full_name='New Mexico, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002C01AF33C18>, type='Polygon', coordinates=[[[-109.050173, 31.332176], [-103.002065, 31.332176], [-103.002065, 37.000294], [-109.050173, 37.000294]]]), attributes={})","Flash Flood Warning including Sandoval County, NM until 11:30 PM MDT https://t.co/3CGxv8eKN8","{'type': 'Point', 'coordinates': [35.53027972, -107.14577926]}",12
In_Th_Spotlight,1153493478841769985,2019-07-23 02:34:10,,,People Finding Strange Leaves In Their Take-Out Chipotle Food Get Rowdy On Twitter https://t.co/SAGgbVzJNQ,,14
DaraSings,1153493477096865793,2019-07-23 02:34:10,,,@shaunking I don’t think this area ever floods like that. I got off easy: drove from Hewlett to Ossining at 7:20. T… https://t.co/3fhUs4zC8N,,23
johnmichaelvanO,1153493464924868608,2019-07-23 02:34:07,,,"Half of Rajasthan faces flood, while the other half faces drought like c... https://t.co/irgDCensh2 via @YouTube",,16
rochet10280271,1153493457366855680,2019-07-23 02:34:05,,,"Every morning I wake up
My heart hears the wind sing of hope
I don't want to miss the point
I don't know what to ex… https://t.co/L8E5Fsx7iU",,27
dioniceus97,1153493450945417216,2019-07-23 02:34:04,,,whenever I start to hyper focus on my weight I get a flood of traumatic childhood memories that come back up in my… https://t.co/GctFsZfwkN,,24
NSWN_SevereWx,1153493448298762247,2019-07-23 02:34:03,,,"NWS Albuquerque NM issued a Flash Flood Warning for Sandoval, NM. Expiring at 11:30 PM (Local)",,16
NSWN_SevereWx,1153493445933244418,2019-07-23 02:34:03,,,NWS Upton NY issued a Flash Flood Watch for Western Essex; Western Union; New York (Manhattan); Rockland; Orange; Northern Westchester; R...,,21
0xKruzr,1153493428002365440,2019-07-23 02:33:58,,,"Dibs on ""The Carroll Street Flood"" as a band name https://t.co/Y7Wo6ZCDks",,11
HunterdonReview,1153493377285001218,2019-07-23 02:33:46,,,Flood Warning until 04:30AM Tuesday https://t.co/uQiSKrK69o,,6
iembot_box,1153493373392756736,2019-07-23 02:33:45,,,"BOX cancels Areal Flood Warning for Bristol, Plymouth [MA] https://t.co/UG7SkDTaaj",,10
planet_alaska,1153493360088195072,2019-07-23 02:33:42,,,"'The People Have Spoken': Estimated 400,000 Puerto Ricans Flood Streets to Demand Rosselló Resign Immediately | Com… https://t.co/AhMW7kWJs8",,18
JorgeTWeather,1153493354124066816,2019-07-23 02:33:41,,,"Flash Flood Warning for Sandoval County, including areas near Cabezon Peak, until 11:30 PM. @KOB4 #nmwx #Monsoon2019 https://t.co/giaRcPML1p",,18
NavyCurls,1153493345936826368,2019-07-23 02:33:39,,,If u got charged ur in 👍🏽 The system is catching up to the flood. https://t.co/hBYgNBUTXp,,16
